,simple_polytope,p3,temperature(p3),p3_odd,p4,temperature(p4),p4_odd,p5,temperature(p5),p5_odd,p6,temperature(p6),p6_odd,p7,temperature(p7),sum(pk_for_k>7),n,independence_number,second_largest_adjacency_eigenvalue,matching_number,claw_free,avg(temperature),max(temperature),|p3 - p6|,|p4 - p6|,|p5 - p6|,|p6 - p7|,rad,diam,max(pk),fullerene,p3>0,p4>0,p5>0,p6>0,p3>p4,p4>p5,p5>p6,p6>p7,sum(pk_for_k>7)>(p3+p4+p5+p6+p7),sum(pk_for_k>7)<(p3+p4+p5+p6+p7),perfect_matching,p3<p4,p4<p5,p5<p6,p6<p7
471,True,1,0.008547008547008548,True,43,0.5733333333333334,True,26,0.2826086956521739,False,22,0.22916666666666666,False,9,0.08256880733944955,17.0,232,105,2.9803233641403266,116,False,0.022545066251455276,0.5733333333333334,21,21,4,13,11,20,43,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
472,True,0,0.0,False,25,0.8620689655172413,True,15,0.38461538461538464,True,1,0.018867924528301886,True,4,0.08,9.0,104,47,2.951801584032036,52,False,0.047565989160290506,0.8620689655172413,1,24,14,3,9,15,25,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True
473,True,1,0.021739130434782608,True,21,0.8076923076923077,True,6,0.14634146341463414,False,5,0.11904761904761904,True,7,0.175,7.0,90,42,2.9299647538821825,45,False,0.06510665456847854,0.8076923076923077,4,16,1,2,8,13,21,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,True
474,True,1,0.01,True,43,0.7413793103448276,True,26,0.3466666666666667,False,3,0.030612244897959183,True,10,0.10989010989010989,18.0,198,88,2.9765777265421223,99,False,0.026986562263956494,0.7413793103448276,2,40,23,7,11,21,43,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,True
475,True,0,0.0,False,12,0.375,False,15,0.5172413793103449,True,9,0.2571428571428571,True,4,0.1,4.0,84,37,2.926805225491614,42,False,0.06408622771971463,0.5172413793103449,9,3,6,5,8,13,15,False,False,True,True,True,False,False,True,True,False,True,True,True,True,False,False
476,True,1,0.04,True,10,0.625,False,3,0.13043478260869565,True,4,0.18181818181818182,False,4,0.18181818181818182,4.0,48,21,2.8324644289116954,24,False,0.16618824110671937,0.625,3,6,1,0,6,8,10,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False
477,True,0,0.0,False,23,0.45098039215686275,True,21,0.39622641509433965,True,15,0.2542372881355932,True,6,0.08823529411764706,9.0,144,64,2.9576610544403774,72,False,0.04385653049453455,0.45098039215686275,15,8,6,9,10,16,23,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
478,True,1,0.007518796992481203,True,57,0.7402597402597403,True,24,0.21818181818181817,False,16,0.13559322033898305,False,14,0.11666666666666667,22.0,264,121,2.984948552196941,132,False,0.019712961796237542,0.7402597402597403,15,41,8,2,12,21,57,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
479,True,1,0.02564102564102564,True,13,0.48148148148148145,True,10,0.3333333333333333,False,9,0.2903225806451613,True,1,0.02564102564102564,6.0,76,34,2.9069271925769202,38,False,0.06941118995448367,0.48148148148148145,8,4,1,8,8,11,13,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
480,True,1,0.017241379310344827,True,28,0.9032258064516129,False,7,0.1346153846153846,True,6,0.11320754716981132,False,4,0.07272727272727272,13.0,114,52,2.9448411876718934,57,False,0.05943737290258335,0.9032258064516129,5,22,1,2,10,15,28,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
481,True,0,0.0,False,16,0.8421052631578947,False,10,0.4,False,0,0.0,False,5,0.16666666666666666,4.0,66,29,2.9006049611570313,33,False,0.08043165893907298,0.8421052631578947,0,16,10,5,7,11,16,False,False,True,True,False,False,True,True,False,False,True,True,True,False,False,True
482,True,1,0.030303030303030304,True,8,0.3076923076923077,False,15,0.7894736842105263,True,2,0.0625,False,4,0.13333333333333333,4.0,64,27,2.890721974136961,32,False,0.09064872371191343,0.7894736842105263,1,6,13,2,7,11,15,False,True,True,True,True,False,False,True,False,False,True,True,True,True,False,True
483,True,1,0.02857142857142857,True,16,0.8,False,4,0.125,False,5,0.16129032258064516,True,4,0.125,6.0,68,31,2.902536018350911,34,False,0.08410138248847925,0.8,4,11,1,1,8,11,16,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False
484,True,1,0.04,True,12,0.8571428571428571,False,2,0.08333333333333333,False,4,0.18181818181818182,False,4,0.18181818181818182,3.0,48,22,2.8491995517524855,24,False,0.16304954304954306,0.8571428571428571,3,8,2,0,6,9,12,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False
485,True,1,0.045454545454545456,True,7,0.4375,True,3,0.15,True,7,0.4375,True,2,0.09523809523809523,3.0,42,18,2.872586238976517,21,False,0.21928210678210677,0.4375,6,0,4,5,5,9,7,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False
486,True,2,0.125,False,5,0.38461538461538464,True,6,0.5,False,2,0.125,False,0,0.0,3.0,32,13,2.885871914385709,16,False,0.14567621920563098,0.5,0,3,4,2,5,9,6,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False
487,True,0,0.0,False,12,0.32432432432432434,False,17,0.53125,True,11,0.2894736842105263,True,5,0.11363636363636363,4.0,94,41,2.929441285115303,47,False,0.061124322582222515,0.53125,11,1,6,6,9,13,17,False,False,True,True,True,False,False,True,True,False,True,True,True,True,False,False
488,True,1,0.016129032258064516,True,18,0.4,False,10,0.18867924528301888,False,18,0.4,False,12,0.23529411764705882,4.0,122,55,2.9468025872254078,61,False,0.05679267075853073,0.4,17,0,8,6,10,15,18,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False
489,True,0,0.0,False,10,0.4,False,10,0.4,False,9,0.34615384615384615,True,2,0.06060606060606061,4.0,66,29,2.8669728513694834,33,False,0.10201457667521015,0.4,9,1,1,7,8,10,10,False,False,True,True,True,False,False,True,True,False,True,True,True,False,False,False
490,True,2,0.125,False,5,0.38461538461538464,True,3,0.2,True,5,0.38461538461538464,True,2,0.125,1.0,32,14,2.8330619206590866,16,False,0.1420060331825038,0.38461538461538464,3,0,2,3,5,9,5,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False
491,True,0,0.0,False,22,0.4489795918367347,False,17,0.3148148148148148,True,15,0.26785714285714285,True,8,0.12698412698412698,9.0,138,62,2.952187919250587,69,False,0.04482432819871243,0.4489795918367347,15,7,2,7,10,16,22,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
492,True,1,0.02040816326530612,True,12,0.3157894736842105,False,12,0.3157894736842105,False,14,0.3888888888888889,False,5,0.1111111111111111,6.0,96,43,2.9082482870622886,48,False,0.09141142563596213,0.3888888888888889,13,2,2,9,9,13,14,False,True,True,True,True,False,False,False,True,False,True,True,True,False,True,False
493,True,1,0.05555555555555555,True,6,0.46153846153846156,False,2,0.11764705882352941,False,6,0.46153846153846156,False,3,0.1875,1.0,34,16,2.8223017938494923,17,False,0.2232225155019273,0.46153846153846156,5,0,4,3,5,8,6,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False
